Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Term Source REF	Characteristics [OrganismPart]	Term Source REF	Characteristics [GrowthCondition]	Characteristics [Organism]	Term Source REF	Characteristics [StrainOrLine]	Characteristics [OrganismPart]	Term Source REF	Characteristics [BioSourceType]	Characteristics [BioSourceProvider]	Characteristics [DevelopmentalStage]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Term Source REF	Labeled Extract Name	Label	Material Type	Term Source REF	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Comment [Array Design URI]	Protocol REF	Factor Value [Time]	Unit [TimeUnit]	Factor Value [StrainOrLine]	Factor Value [GrowthCondition]	Factor Value [OrganismPart]	Term Source REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Comment [ArrayExpress Data Retrieval URI]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Comment [Derived ArrayExpress Data Retrieval URI]	
3366_3354_3376	3 weeks old	days	The MGED Ontology	thymus	NCI_thesaurus	control	Gallus gallus	EFO	susceptible (line7)	spleen	NCI_thesaurus	Frozen	Pete Kaiser, Institute of Animal Health, Compton, UK	chick	P-TABM-3840	P-TABM-3835	3366_3354_3376	P-TABM-3834	3366_3354_3376	total_RNA	The MGED Ontology	3366_3354_3376_labeled	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-HYBRIDIZATION	858_0150_Burt_790_thymuspool33	A-AFFY-103	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-103	P-AFFY-6	4	d	susceptible (line7)	control	thymus	NCI_thesaurus	858_0150_Burt_790_thymuspool33	858_0150_Burt_790_thymuspool33.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	Affymetrix:Protocol:plier-mm_xxx	E-TABM-721-processed-data-1762950384.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	
3764_3770_3786	3 weeks old	days	The MGED Ontology	thymus	NCI_thesaurus	infected with MDV	Gallus gallus	EFO	resistant (line6)	spleen	NCI_thesaurus	Frozen	Pete Kaiser, Institute of Animal Health, Compton, UK	chick	P-TABM-3840	P-TABM-3835	3764_3770_3786	P-TABM-3834	3764_3770_3786	total_RNA	The MGED Ontology	3764_3770_3786_labeled	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-HYBRIDIZATION	724_0150_Burt_723_spleenpool10	A-AFFY-103	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-103	P-AFFY-6	3	d	resistant (line6)	infected with MDV	spleen	NCI_thesaurus	724_0150_Burt_723_spleenpool10	724_0150_Burt_723_spleenpool10.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	Affymetrix:Protocol:plier-mm_xxx	E-TABM-721-processed-data-1762950384.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	
3367_3361_3380	3 weeks old	days	The MGED Ontology	thymus	NCI_thesaurus	control	Gallus gallus	EFO	susceptible (line7)	spleen	NCI_thesaurus	Frozen	Pete Kaiser, Institute of Animal Health, Compton, UK	chick	P-TABM-3840	P-TABM-3835	3367_3361_3380	P-TABM-3834	3367_3361_3380	total_RNA	The MGED Ontology	3367_3361_3380_labeled	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-HYBRIDIZATION	855_0150_Burt_787_thymuspool27	A-AFFY-103	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-103	P-AFFY-6	3	d	susceptible (line7)	control	thymus	NCI_thesaurus	855_0150_Burt_787_thymuspool27	855_0150_Burt_787_thymuspool27.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	Affymetrix:Protocol:plier-mm_xxx	E-TABM-721-processed-data-1762950384.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	
3788_3791_3800	3 weeks old	days	The MGED Ontology	thymus	NCI_thesaurus	control	Gallus gallus	EFO	resistant (line6)	spleen	NCI_thesaurus	Frozen	Pete Kaiser, Institute of Animal Health, Compton, UK	chick	P-TABM-3840	P-TABM-3835	3788_3791_3800	P-TABM-3834	3788_3791_3800	total_RNA	The MGED Ontology	3788_3791_3800_labeled	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-HYBRIDIZATION	773_0150_Burt_689_spleenpool9	A-AFFY-103	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-103	P-AFFY-6	3	d	resistant (line6)	control	spleen	NCI_thesaurus	773_0150_Burt_689_spleenpool9	773_0150_Burt_689_spleenpool9.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	Affymetrix:Protocol:plier-mm_xxx	E-TABM-721-processed-data-1762950384.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	
3762_3790_3798	3 weeks old	days	The MGED Ontology	thymus	NCI_thesaurus	infected with MDV	Gallus gallus	EFO	resistant (line6)	spleen	NCI_thesaurus	Frozen	Pete Kaiser, Institute of Animal Health, Compton, UK	chick	P-TABM-3840	P-TABM-3835	3762_3790_3798	P-TABM-3834	3762_3790_3798	total_RNA	The MGED Ontology	3762_3790_3798_labeled	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-HYBRIDIZATION	832_0150_Burt_818_thymuspool18	A-AFFY-103	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-103	P-AFFY-6	4	d	resistant (line6)	infected with MDV	thymus	NCI_thesaurus	832_0150_Burt_818_thymuspool18	832_0150_Burt_818_thymuspool18.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	Affymetrix:Protocol:plier-mm_xxx	E-TABM-721-processed-data-1762950384.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	
3381_3345_3359	3 weeks old	days	The MGED Ontology	thymus	NCI_thesaurus	control	Gallus gallus	EFO	susceptible (line7)	spleen	NCI_thesaurus	Frozen	Pete Kaiser, Institute of Animal Health, Compton, UK	chick	P-TABM-3840	P-TABM-3835	3381_3345_3359	P-TABM-3834	3381_3345_3359	total_RNA	The MGED Ontology	3381_3345_3359_labeled	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-HYBRIDIZATION	857_0150_Burt_789_thymuspool31	A-AFFY-103	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-103	P-AFFY-6	4	d	susceptible (line7)	control	thymus	NCI_thesaurus	857_0150_Burt_789_thymuspool31	857_0150_Burt_789_thymuspool31.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	Affymetrix:Protocol:plier-mm_xxx	E-TABM-721-processed-data-1762950384.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	
3387_3377_3382	3 weeks old	days	The MGED Ontology	thymus	NCI_thesaurus	control	Gallus gallus	EFO	susceptible (line7)	spleen	NCI_thesaurus	Frozen	Pete Kaiser, Institute of Animal Health, Compton, UK	chick	P-TABM-3840	P-TABM-3835	3387_3377_3382	P-TABM-3834	3387_3377_3382	total_RNA	The MGED Ontology	3387_3377_3382_labeled	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-HYBRIDIZATION	735_0150_Burt_734_spleenpool32	A-AFFY-103	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-103	P-AFFY-6	4	d	susceptible (line7)	control	spleen	NCI_thesaurus	735_0150_Burt_734_spleenpool32	735_0150_Burt_734_spleenpool32.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	Affymetrix:Protocol:plier-mm_xxx	E-TABM-721-processed-data-1762950384.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	
3349_3389_3385	3 weeks old	days	The MGED Ontology	thymus	NCI_thesaurus	control	Gallus gallus	EFO	susceptible (line7)	spleen	NCI_thesaurus	Frozen	Pete Kaiser, Institute of Animal Health, Compton, UK	chick	P-TABM-3840	P-TABM-3835	3349_3389_3385	P-TABM-3834	3349_3389_3385	total_RNA	The MGED Ontology	3349_3389_3385_labeled	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-HYBRIDIZATION	729_0150_Burt_728_spleenpool20	A-AFFY-103	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-103	P-AFFY-6	2	d	susceptible (line7)	control	spleen	NCI_thesaurus	729_0150_Burt_728_spleenpool20	729_0150_Burt_728_spleenpool20.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	Affymetrix:Protocol:plier-mm_xxx	E-TABM-721-processed-data-1762950384.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	
3388_3384_3390	3 weeks old	days	The MGED Ontology	thymus	NCI_thesaurus	infected with MDV	Gallus gallus	EFO	susceptible (line7)	spleen	NCI_thesaurus	Frozen	Pete Kaiser, Institute of Animal Health, Compton, UK	chick	P-TABM-3840	P-TABM-3835	3388_3384_3390	P-TABM-3834	3388_3384_3390	total_RNA	The MGED Ontology	3388_3384_3390_labeled	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-HYBRIDIZATION	838_0150_Burt_824_thymuspool30	A-AFFY-103	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-103	P-AFFY-6	3	d	susceptible (line7)	infected with MDV	thymus	NCI_thesaurus	838_0150_Burt_824_thymuspool30	838_0150_Burt_824_thymuspool30.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	Affymetrix:Protocol:plier-mm_xxx	E-TABM-721-processed-data-1762950384.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	
3749_3776_3767	3 weeks old	days	The MGED Ontology	thymus	NCI_thesaurus	control	Gallus gallus	EFO	resistant (line6)	spleen	NCI_thesaurus	Frozen	Pete Kaiser, Institute of Animal Health, Compton, UK	chick	P-TABM-3840	P-TABM-3835	3749_3776_3767	P-TABM-3834	3749_3776_3767	total_RNA	The MGED Ontology	3749_3776_3767_labeled	biotin	synthetic_DNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-HYBRIDIZATION	723_0150_Burt_722_spleenpool8	A-AFFY-103	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-103	P-AFFY-6	3	d	resistant (line6)	control	spleen	NCI_thesaurus	723_0150_Burt_722_spleenpool8	723_0150_Burt_722_spleenpool8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.raw.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	Affymetrix:Protocol:plier-mm_xxx	E-TABM-721-processed-data-1762950384.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-721/E-TABM-721.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1762950356	
